nombre,afinidad,posicion,equipo,url_imagen
Leonard O'Shea,Montaña,Defensa,Instituto Wild,https://static.wikia.nocookie.net/inazuma/images/e/e6/Leonard_o%27shea.jpg/revision/latest/scale-to-width-down/268?cb=20110210175011&path-prefix=es
Leroy Rhymes,Aire,Centrocampista,Instituto Umbrella,https://static.wikia.nocookie.net/inazuma/images/a/aa/Kanou.png/revision/latest?cb=20120104200908&path-prefix=es
Light Nobel,Bosque,Centrocampista,Instituto Otaku,https://static.wikia.nocookie.net/inazuma/images/5/5e/Light_Nobel_IED.png/revision/latest?cb=20121202160210&path-prefix=es
Lizzy Squirrel,Aire,Centrocampista,Sallys,https://static.wikia.nocookie.net/inazuma/images/4/4c/%28S%29_Squirrel_3D_%283%29.png/revision/latest/scale-to-width-down/268?cb=20200122232554&path-prefix=es
Lorne Mower,Montaña,Defensa [ 1 ] Portero,Instituto Farm,https://static.wikia.nocookie.net/inazuma/images/f/ff/%28F%29_Mower_3D_%283%29.png/revision/latest/scale-to-width-down/268?cb=20191019201023&path-prefix=es
Lou Edmonds,Fuego,Delantero,Instituto Umbrella Instituto Raimon,https://static.wikia.nocookie.net/inazuma/images/d/d5/Edmonds.jpg/revision/latest/scale-to-width-down/268?cb=20110317165037&path-prefix=es
Louis Hillside,Fuego,Defensa,Sallys,https://static.wikia.nocookie.net/inazuma/images/9/96/%28S%29_Knuckles_3D_%283%29.png/revision/latest/scale-to-width-down/268?cb=20200122232316&path-prefix=es
Luke Lively,Bosque,Defensa,Instituto Farm,https://static.wikia.nocookie.net/inazuma/images/b/b2/%28F%29_Lively_3D_%283%29.png/revision/latest/scale-to-width-down/268?cb=20191019201017&path-prefix=es
Maddie Moonlight,Bosque,Delantero Entrenador,Inazuma Kids FC Inazuma Kids FC,https://static.wikia.nocookie.net/inazuma/images/9/97/ImagesCA9PWV23.jpg/revision/latest?cb=20120825134518&path-prefix=es
Malcolm Night,Fuego,Defensa,1ª Línea : Instituto Kirkwood Emperadores Oscuros 2ª Línea : Instituto Kirkwood,https://static.wikia.nocookie.net/inazuma/images/c/ce/Nishigaki.png/revision/latest/scale-to-width-down/267?cb=20220420225338&path-prefix=es
Manny Artic,Montaña,Entrenador Centrocampista,Instituto Otaku,https://static.wikia.nocookie.net/inazuma/images/c/c7/Shuuyoumeitocoach.jpg/revision/latest?cb=20110727211459&path-prefix=es
Marcus Train,Fuego,Defensa,Instituto Otaku,https://static.wikia.nocookie.net/inazuma/images/c/c8/Sujimichi_Tetsuo.jpg/revision/latest?cb=20201213152228&path-prefix=es
Mark Evans,Montaña,Portero Defensa,1ª Línea : 1/15. Instituto Raimon,https://static.wikia.nocookie.net/inazuma/images/0/0c/Mark%28Joven%29.png/revision/latest?cb=20210128023904&path-prefix=es
Mark Gambling,Aire,Delantero,Instituto Otaku,https://static.wikia.nocookie.net/inazuma/images/c/c5/Moe_manga.jpg/revision/latest/scale-to-width-down/268?cb=20151203181459&path-prefix=es
Mark Hillvalley,Montaña,Defensa,Instituto Farm Neo Japón,https://static.wikia.nocookie.net/inazuma/images/9/92/Markhillvalley1.png/revision/latest/scale-to-width-down/268?cb=20140107201723&path-prefix=es
Marshall Heart,Aire,Delantero,13. Inazuma Eleven,https://static.wikia.nocookie.net/inazuma/images/1/18/%28IE%29_Heart_3D_%283%29.png/revision/latest/scale-to-width-down/268?cb=20200131145815&path-prefix=es
Marvin Murdock,Fuego,Delantero,1ª Línea : Instituto Kirkwood,https://static.wikia.nocookie.net/inazuma/images/a/a4/Marvin.jpg/revision/latest/scale-to-width-down/268?cb=20220420223919&path-prefix=es
Matt Mouseman,Montaña,Centrocampista,Instituto Wild,https://static.wikia.nocookie.net/inazuma/images/6/6b/%28W%29_Mouseman_3D_%283%29.png/revision/latest/scale-to-width-down/268?cb=20191015151541&path-prefix=es
Maxwell Carson,Aire,Delantero [ 1 ] Centrocampista,9. Instituto Raimon 9. Emperadores Oscuros 22. Pruebas de Selección - Equipo A,https://static.wikia.nocookie.net/inazuma/images/f/f8/Max_%28Raimon_Artwork%29.png/revision/latest/scale-to-width-down/228?cb=20220610144011&path-prefix=es
Maxwell Claus,Bosque,Defensa,Instituto Umbrella,https://static.wikia.nocookie.net/inazuma/images/c/c2/Mukaiyama.png/revision/latest?cb=20120104211107&path-prefix=es
Michael Riverside,Montaña,Centrocampista,Inazuma Kids FC,https://static.wikia.nocookie.net/inazuma/images/5/51/Michael_Riverside_%28Anime%29.png/revision/latest?cb=20160603151935&path-prefix=es
Mick Askley,Bosque,Centrocampista,Instituto Occult,https://static.wikia.nocookie.net/inazuma/images/a/ae/%28O%29_Ghost_3D_%283%29.png/revision/latest/scale-to-width-down/268?cb=20191015133601&path-prefix=es
Mike Vox,Aire,Defensa,Instituto Otaku,https://static.wikia.nocookie.net/inazuma/images/9/90/%28OTK%29_Vox_3D_%283%29.png/revision/latest/scale-to-width-down/268?cb=20191017134008&path-prefix=es
Mildford Scott,Bosque,Centrocampista,Instituto Umbrella Instituto Raimon,https://static.wikia.nocookie.net/inazuma/images/5/5d/Tachino.png/revision/latest?cb=20120104202411&path-prefix=es
Miles Ryan,Aire,Defensa,,https://static.wikia.nocookie.net/inazuma/images/5/52/Tumblr_lto16onhyh1qj0sk0.png/revision/latest?cb=20111113000036&path-prefix=es
Mitch Grumble,Aire,Centrocampista,Inazuma Kids FC,https://static.wikia.nocookie.net/inazuma/images/f/f7/%28IKFC%29_Grumble_3D_%283%29.png/revision/latest/scale-to-width-down/268?cb=20200117135355&path-prefix=es
Mitch Sandstone,Fuego,Centrocampista,Sallys,https://static.wikia.nocookie.net/inazuma/images/b/bb/%28S%29_Sandstone_3D_%283%29.png/revision/latest/scale-to-width-down/268?cb=20200122232550&path-prefix=es
Morgan Sanders,Bosque,Portero,Instituto Shuriken,https://static.wikia.nocookie.net/inazuma/images/9/99/250px-Momochi.jpg/revision/latest?cb=20120812154903&path-prefix=es
Nathan Jones,Aire,Portero,Instituto Occult,https://static.wikia.nocookie.net/inazuma/images/2/29/250px-Nata_Juuzou.jpg/revision/latest?cb=20111002194011&path-prefix=es
Nathan Swift,Aire,Defensa Delantero,1ª Línea : 2. Instituto Raimon 10. Emperadores Oscuros,https://static.wikia.nocookie.net/inazuma/images/7/74/Nathan_%28T3_Artwork%29.png/revision/latest/scale-to-width-down/200?cb=20170526000014&path-prefix=es
Ned Yousef,Montaña,Centrocampista,Instituto Zeus,https://static.wikia.nocookie.net/inazuma/images/7/7e/%28Z%29_Medusa_3D_%283%29.png/revision/latest/scale-to-width-down/268?cb=20191021133403&path-prefix=es
Neil Turner,Fuego,Delantero Centrocampista,1ª Línea : 11. Instituto Brain 6. Neo Japón DT. Secundaria Northbright,https://static.wikia.nocookie.net/inazuma/images/c/c1/Neil_Turner_%28NJ_Artwork%29.png/revision/latest?cb=20160321134356&path-prefix=es
Neil Waters,Bosque,Defensa,Instituto Brain,https://static.wikia.nocookie.net/inazuma/images/6/67/%28B%29_Waters_3D_%283%29.png/revision/latest/scale-to-width-down/268?cb=20191016140450&path-prefix=es
Nelly Raimon,Fuego,Delantero,1ª Línea : Instituto Raimon,https://static.wikia.nocookie.net/inazuma/images/b/b9/Nelly_%28Artwork%29.png/revision/latest/scale-to-width-down/168?cb=20210131215441&path-prefix=es
Ness Sheldon,Montaña,Defensa,Sallys,https://static.wikia.nocookie.net/inazuma/images/9/98/%28S%29_Sheldon_3D_%283%29.png/revision/latest/scale-to-width-down/268?cb=20200122232552&path-prefix=es
Newton Flust,Montaña,Defensa,Instituto Shuriken,https://static.wikia.nocookie.net/inazuma/images/e/e8/250px-Fujibayashi_Nagato.jpg/revision/latest?cb=20120101200849&path-prefix=es
Noel Good,Bosque Montaña,Defensa,1ª Línea : Instituto Brain 2ª Línea : Instituto Brain,https://static.wikia.nocookie.net/inazuma/images/e/e6/Noel_good.jpg/revision/latest?cb=20160319180839&path-prefix=es
Norman Porter,Montaña,Defensa,Instituto Umbrella,https://static.wikia.nocookie.net/inazuma/images/1/10/Noho.png/revision/latest?cb=20120104210026&path-prefix=es
Ollie Webb,Bosque,Defensa,Instituto Otaku,https://static.wikia.nocookie.net/inazuma/images/c/c9/%28OTK%29_Net_3D_%283%29.png/revision/latest/scale-to-width-down/268?cb=20191017133927&path-prefix=es
Orville Newman,Fuego,Centrocampista,Instituto Farm,https://static.wikia.nocookie.net/inazuma/images/a/a6/250px-Oogoi_Noboru.jpg/revision/latest?cb=20120218215933&path-prefix=es
Patrick Stiller,Aire,Centrocampista,Instituto Brain,https://static.wikia.nocookie.net/inazuma/images/9/9a/%28B%29_Stiller_3D_%283%29.png/revision/latest/scale-to-width-down/268?cb=20191016140412&path-prefix=es
Paul Caperock,Aire,Defensa,Instituto Umbrella,https://static.wikia.nocookie.net/inazuma/images/6/65/%28U%29_Caperock_%283%29.png/revision/latest/scale-to-width-down/268?cb=20191024142433&path-prefix=es
Paul Peabody,Aire,Defensa Portero,Manga de Tenya Yabuno : 7. [ 1 ] /8. Instituto Raimon 8. Pruebas de Selección - Equipo A 8. Inazuma Japón,https://static.wikia.nocookie.net/inazuma/images/5/51/Paul_Peadbody_Anime.png/revision/latest/scale-to-width-down/268?cb=20110724203435&path-prefix=es
Paul Siddon,Montaña,Portero,Instituto Zeus,https://static.wikia.nocookie.net/inazuma/images/0/0f/Paulsiddon.png/revision/latest/scale-to-width-down/268?cb=20130830084758&path-prefix=es
Peter Banker,Aire,Centrocampista [ 1 ] Portero,Instituto Umbrella,https://static.wikia.nocookie.net/inazuma/images/0/07/%28U%29_Banker_%283%29.png/revision/latest/scale-to-width-down/268?cb=20191024142431&path-prefix=es
Peter Drent,Montaña,Defensa,1ª Línea : 2. Royal Academy 21. Pruebas de Selección - Equipo B [ 1 ] 2ª Línea : 2. Royal Academy,https://static.wikia.nocookie.net/inazuma/images/e/e8/Peter_Drent_IED.png/revision/latest?cb=20121126185305&path-prefix=es
Peter Johnson,Bosque,Defensa,Instituto Wild,https://static.wikia.nocookie.net/inazuma/images/7/7b/Peterjohnsonwild.jpg/revision/latest?cb=20230524193329&path-prefix=es
Peter Mildred,Bosque,Centrocampista,5. Instituto Raimon,https://static.wikia.nocookie.net/inazuma/images/5/5f/Peter_Mildred_%281%29.png/revision/latest?cb=20130726130320&path-prefix=es
Peter Wells,Aire,Defensa,Instituto Kirkwood,https://static.wikia.nocookie.net/inazuma/images/6/68/%28KW%29_Wells_3D_%283%29.png/revision/latest/scale-to-width-down/268?cb=20191019202358&path-prefix=es
Phil Noir,Bosque,Delantero,Instituto Occult,https://static.wikia.nocookie.net/inazuma/images/8/8d/%28O%29_Noir_3D_%283%29.png/revision/latest/scale-to-width-down/268?cb=20191015133902&path-prefix=es
Phil Wingate,Montaña,Centrocampista,Instituto Shuriken,https://static.wikia.nocookie.net/inazuma/images/6/67/185px-Koheita_fuma.jpg/revision/latest/scale-to-width-down/268?cb=20200315155350&path-prefix=es
Philip Anders,Fuego,Delantero,Instituto Wild,https://static.wikia.nocookie.net/inazuma/images/a/af/%28W%29_Panda_3D_%283%29.png/revision/latest/scale-to-width-down/268?cb=20191015151545&path-prefix=es
Philip Marvel,Montaña,Defensa,1ª Línea : Instituto Brain 2ª Línea : Instituto Brain,https://static.wikia.nocookie.net/inazuma/images/b/ba/Marvel.png/revision/latest?cb=20160319004846&path-prefix=es
Pip Daltry,Bosque,Defensa,Sallys,https://static.wikia.nocookie.net/inazuma/images/6/6b/%28S%29_Daltry_3D_%283%29.png/revision/latest/scale-to-width-down/268?cb=20200122232040&path-prefix=es
Ray Dark,Aire,Entrenador Centrocampista,1ª Línea: Instituto Raimon,https://static.wikia.nocookie.net/inazuma/images/0/0f/Ray_Dark_%28Artwork_T1-T2%29.png/revision/latest/scale-to-width-down/191?cb=20220610143119&path-prefix=es
Ray Mannings,Aire,Centrocampista,Instituto Occult,https://static.wikia.nocookie.net/inazuma/images/3/30/Reigen_Michihisa.jpg/revision/latest?cb=20120102164736&path-prefix=es
Reg Underwood,Bosque,Centrocampista [ 1 ] Portero,Instituto Brain,https://static.wikia.nocookie.net/inazuma/images/b/b9/%28B%29_Under_3D_%283%29.png/revision/latest/scale-to-width-down/268?cb=20191016140420&path-prefix=es
Ricky Clover,Montaña,Defensa,Línea Original : Instituto Kirkwood Línea Alterna : Instituto Kirkwood,https://static.wikia.nocookie.net/inazuma/images/b/b1/Kurobe.jpg/revision/latest/scale-to-width-down/268?cb=20130822082943&path-prefix=es
Rob Crombie,Montaña,Defensa [ 1 ] Portero,Instituto Occult,https://static.wikia.nocookie.net/inazuma/images/4/4e/%28O%29_Zombie_3D_%283%29.png/revision/latest/scale-to-width-down/268?cb=20191015134808&path-prefix=es
Robert Mayer,Bosque,Centrocampista,Instituto Occult,https://static.wikia.nocookie.net/inazuma/images/1/1f/Mummy.jpg/revision/latest?cb=20110317180150&path-prefix=es
Robert Silver,Aire,Defensa,Inazuma Kids FC,https://static.wikia.nocookie.net/inazuma/images/0/07/Robert_Silver_%28Anime%29.png/revision/latest?cb=20140107170802&path-prefix=es
Rocky Rackham,Bosque,Defensa,Instituto Wild,https://static.wikia.nocookie.net/inazuma/images/0/07/%28W%29_Raccoon_3D_%283%29.png/revision/latest/scale-to-width-down/267?cb=20191015151547&path-prefix=es
Rolf Howells,Aire,Defensa,Instituto Farm,https://static.wikia.nocookie.net/inazuma/images/1/14/%28F%29_Howells_3D_%283%29.png/revision/latest/scale-to-width-down/268?cb=20191019201015&path-prefix=es
Russell Walk,Bosque,Defensa,Instituto Occult,https://static.wikia.nocookie.net/inazuma/images/b/bd/Styx..jpg/revision/latest?cb=20120705085654&path-prefix=es
Sail Bluesea,Fuego,Delantero Centrocampista,Instituto Shuriken,https://static.wikia.nocookie.net/inazuma/images/a/a0/195px-Kirigakure_Saiji_HQ_016.png/revision/latest?cb=20120707180116&path-prefix=es
Sam Idol,Montaña,Portero,Instituto Otaku,https://static.wikia.nocookie.net/inazuma/images/d/dc/Sam_idol.jpg/revision/latest?cb=20120706132638&path-prefix=es
Sam Kincaid,Fuego,Centrocampista Defensa,8. Instituto Raimon 8. Emperadores Oscuros,https://static.wikia.nocookie.net/inazuma/images/f/f1/Sam_%28Artwork%29.png/revision/latest?cb=20230417134310&path-prefix=es
Sam Samurai,Bosque,Delantero,Instituto Shuriken,https://static.wikia.nocookie.net/inazuma/images/f/f6/Sam_Samurai_%28anime%29.jpg/revision/latest?cb=20150225010424&path-prefix=es
Samantha Moonlight,Aire,Delantero,Sallys,https://static.wikia.nocookie.net/inazuma/images/2/2e/%28S%29_Samantha_3D_%283%29.png/revision/latest/scale-to-width-down/268?cb=20200122232548&path-prefix=es
Sammy Igajima,Fuego,Entrenador Centrocampista,DT. Instituto Shuriken,https://static.wikia.nocookie.net/inazuma/images/3/35/Igayima.png/revision/latest/scale-to-width-down/268?cb=20200315144417&path-prefix=es
Samuel Buster,Fuego,Centrocampista,Instituto Brain,https://static.wikia.nocookie.net/inazuma/images/4/42/Samuel_buster.jpg/revision/latest?cb=20160320203058&path-prefix=es
Saul Tunk,Fuego,Centrocampista,Instituto Umbrella,https://static.wikia.nocookie.net/inazuma/images/1/1d/%28U%29_Tunk_%283%29.png/revision/latest/scale-to-width-down/268?cb=20191024143703&path-prefix=es
Seth Nichols,Aire,Entrenador Defensa,Línea Original : Instituto Kirkwood Línea Héroes : Instituto Kirkwood,https://static.wikia.nocookie.net/inazuma/images/5/5f/250px-Vlcsnap-2012-04-10-01h22m22s226.png/revision/latest?cb=20120811155246&path-prefix=es
Seward Hayseed,Montaña,Defensa,Instituto Farm,https://static.wikia.nocookie.net/inazuma/images/d/dc/250px-Sumino_Eisuke.jpg/revision/latest?cb=20120218215629&path-prefix=es
Seymour Hillman,Montaña,Entrenador Portero,Pasado : 1. Instituto Raimon,https://static.wikia.nocookie.net/inazuma/images/9/9f/Hillman_%28Artwork%29.png/revision/latest/scale-to-width-down/267?cb=20220610144030&path-prefix=es
Señor Sharp,,,,https://static.wikia.nocookie.net/inazuma/images/e/e5/Se%C3%B1or_Sharp.jpg/revision/latest/scale-to-width-down/268?cb=20150829235108&path-prefix=es
Sharon Evans,,,,https://static.wikia.nocookie.net/inazuma/images/3/36/Sharon_evans.jpg/revision/latest/scale-to-width-down/268?cb=20150829202332&path-prefix=es
Silvia Woods,Montaña,Portero Entrenador,1ª Línea : Instituto Raimon,https://static.wikia.nocookie.net/inazuma/images/7/71/Silvia_%28Artwork%29.png/revision/latest/scale-to-width-down/234?cb=20210117141332&path-prefix=es
Simon Calier,Bosque,Centrocampista [ 1 ] Portero,Instituto Kirkwood,https://static.wikia.nocookie.net/inazuma/images/a/a7/%28KW%29_Calier_3D_%283%29.png/revision/latest/scale-to-width-down/268?cb=20191019201915&path-prefix=es
Slot MacHines,Fuego,Defensa,15. Inazuma Eleven,https://static.wikia.nocookie.net/inazuma/images/c/c4/%28IE%29_MacHines_3D_%283%29.png/revision/latest/scale-to-width-down/268?cb=20200131151410&path-prefix=es
Sothern Newman,Montaña,Defensa,Inazuma Kids FC,https://static.wikia.nocookie.net/inazuma/images/9/99/Sothern_Newman_%28Anime%29.png/revision/latest?cb=20160531013634&path-prefix=es
Spencer Gates,Montaña,Defensa,Instituto Otaku,https://static.wikia.nocookie.net/inazuma/images/1/16/Spencergates1.png/revision/latest/scale-to-width-down/268?cb=20140103202301&path-prefix=es
Stephen Black,,Entrenador,Royal Academy,https://static.wikia.nocookie.net/inazuma/images/6/6a/Se%C3%B1or_Black_%28Anime%29.PNG/revision/latest/scale-to-width-down/268?cb=20140925195548&path-prefix=es
Steve Eagle,Aire,Centrocampista,Instituto Wild,https://static.wikia.nocookie.net/inazuma/images/a/a8/Steve_eagle.jpg/revision/latest?cb=20110210173645&path-prefix=es
Steve Grim,Aire,Centrocampista Entrenador,6. Instituto Raimon 6. Emperadores Oscuros DT. Inazuma Kids FC,https://static.wikia.nocookie.net/inazuma/images/5/5f/Steve_%28Raimon_Artwork%29.png/revision/latest/scale-to-width-down/208?cb=20220610143136&path-prefix=es
Steve Ingham,Montaña,Delantero,Royal Academy,https://static.wikia.nocookie.net/inazuma/images/8/8d/Steve_Ingham_%28Opening_IE_Juego%29.png/revision/latest/scale-to-width-down/268?cb=20160416154402&path-prefix=es
Stuart Racoonfur,Bosque,Delantero,Instituto Farm,https://static.wikia.nocookie.net/inazuma/images/d/df/Muffs_%28Anime-EP18%29.jpg/revision/latest/scale-to-width-down/268?cb=20160510173030&path-prefix=es
Suzanne Yuma,Montaña,Portero,Sallys,https://static.wikia.nocookie.net/inazuma/images/8/82/%28S%29_Yuma_3D_%283%29.png/revision/latest/scale-to-width-down/268?cb=20200122232644&path-prefix=es
Tammy Fielding,Bosque,Defensa,Sallys,https://static.wikia.nocookie.net/inazuma/images/d/d7/%28S%29_Fielding_3D_%283%29.png/revision/latest/scale-to-width-down/268?cb=20200122232042&path-prefix=es
Taylor Higgins,Aire,Centrocampista,Inazuma Kids FC,https://static.wikia.nocookie.net/inazuma/images/8/85/Inazuma-eleven-arte-007.jpg/revision/latest/scale-to-width-down/267?cb=20140527201209&path-prefix=es
Ted Poe,Bosque,Delantero,12. Inazuma Eleven,https://static.wikia.nocookie.net/inazuma/images/8/84/%28IE%29_Poe_3D_%283%29.png/revision/latest/scale-to-width-down/268?cb=20200131151416&path-prefix=es
Terry Stronger,Fuego,Defensa,1ª Línea : Instituto Brain 2ª Línea : Instituto Brain,https://static.wikia.nocookie.net/inazuma/images/6/6b/Terry_stronger.jpg/revision/latest?cb=20160319001135&path-prefix=es
Theakston Plank,Aire,Delantero,Inazuma Kids FC,https://static.wikia.nocookie.net/inazuma/images/1/1e/%28IKFC%29_Plank_3D_%283%29.png/revision/latest/scale-to-width-down/268?cb=20200117141356&path-prefix=es
Theodore Master,Bosque,Delantero,Instituto Otaku,https://static.wikia.nocookie.net/inazuma/images/6/61/Arcade_%28anime%29.png/revision/latest?cb=20160401020439&path-prefix=es
Thomas Feldt,Bosque,Portero,1ª Línea : Instituto Brain Emperadores Oscuros,https://static.wikia.nocookie.net/inazuma/images/d/d8/Feldt.png/revision/latest?cb=20130331194749&path-prefix=es
Thomas Murdock,Aire,Delantero,1ª Línea : Instituto Kirkwood 2ª Línea : Instituto Kirkwood,https://static.wikia.nocookie.net/inazuma/images/d/dd/Murdock3524.jpg/revision/latest/scale-to-width-down/268?cb=20220420224415&path-prefix=es
Tim Saunders,Bosque,Centrocampista,7. Instituto Raimon 7. Emperadores Oscuros ??. Instituto Claustro Sagrado,https://static.wikia.nocookie.net/inazuma/images/6/6c/Timmy_%28Raimon_Artwork%29.png/revision/latest/scale-to-width-down/268?cb=20220610144047&path-prefix=es
Toby Damian,Aire,Centrocampista,Línea Original : Instituto Kirkwood Línea Alterna : Instituto Kirkwood,https://static.wikia.nocookie.net/inazuma/images/4/4f/Grdfhgh.png/revision/latest/scale-to-width-down/268?cb=20120827110637&path-prefix=es
Tod Ironside,Fuego,Defensa Centrocampista,5. Instituto Raimon,https://static.wikia.nocookie.net/inazuma/images/3/3e/Tod_%28T3_Artwork%29.png/revision/latest/scale-to-width-down/219?cb=20180417171752&path-prefix=es
Tom Dark,,Delantero,10. Selección de Japón,https://static.wikia.nocookie.net/inazuma/images/6/66/Kageyama_Tougo.png/revision/latest/scale-to-width-down/268?cb=20140312190559&path-prefix=es
Tom Walters,Montaña,Centrocampista,Instituto Farm,https://static.wikia.nocookie.net/inazuma/images/6/6d/250px-Harano_Tooru.jpg/revision/latest?cb=20120423001154&path-prefix=es
Troy Moon,Fuego,Delantero Centrocampista,Instituto Occult,https://static.wikia.nocookie.net/inazuma/images/d/d8/Troy_con_su_tiro_fantasma.jpg/revision/latest?cb=20120202174725&path-prefix=es
Turtle Newfield,Aire,Entrenador Centrocampista,Instituto Farm,https://static.wikia.nocookie.net/inazuma/images/e/e4/Se%C3%B1or_Newfield.png/revision/latest/scale-to-width-down/268?cb=20160511151245&path-prefix=es
Tyler Murdock,Montaña,Delantero,1ª Línea : Instituto Kirkwood Neo Japón 2ª Línea : Instituto Kirkwood,https://static.wikia.nocookie.net/inazuma/images/3/37/250px-Mukata_Tsutomi.jpg/revision/latest/scale-to-width-down/268?cb=20220420224404&path-prefix=es
Tyler Thomas,Montaña,Centrocampista,8. Instituto Raimon,https://static.wikia.nocookie.net/inazuma/images/b/b8/Tyler_Thomas_%28anime%29.PNG/revision/latest/scale-to-width-down/268?cb=20180204193225&path-prefix=es
Tyron Rock,Fuego,Centrocampista,Instituto Brain,https://static.wikia.nocookie.net/inazuma/images/b/ba/Tyron.png/revision/latest?cb=20160319224457&path-prefix=es
Uxley Allen,Aire,Delantero,Instituto Occult,https://static.wikia.nocookie.net/inazuma/images/d/d0/%28O%29_Alien_3D_%283%29.png/revision/latest/scale-to-width-down/268?cb=20191015131813&path-prefix=es
Victor Kind,Bosque,Centrocampista,1ª Línea : Instituto Brain 2ª Línea : Instituto Brain,https://static.wikia.nocookie.net/inazuma/images/1/1b/Victor_Kind_%28anime%29.jpg/revision/latest?cb=20160321000252&path-prefix=es
Victor Talis,Bosque,Centrocampista,Instituto Kirkwood,https://static.wikia.nocookie.net/inazuma/images/9/9b/%28KW%29_Talis_3D_%283%29.png/revision/latest/scale-to-width-down/268?cb=20191019202227&path-prefix=es
Walter Valiant,Fuego,Centrocampista,Instituto Otaku,https://static.wikia.nocookie.net/inazuma/images/9/93/MutekiHideo7865.jpg/revision/latest?cb=20120101182737&path-prefix=es
Wesley Knox,Bosque,Centrocampista,1ª Línea : Instituto Zeus 2ª Línea : Instituto Zeus,https://static.wikia.nocookie.net/inazuma/images/9/94/250px-Atena_Tomo.jpg/revision/latest/scale-to-width-down/230?cb=20120628004121&path-prefix=es
William Glass,Bosque,Delantero Centrocampista [ 1 ],12/10/8 [ 2 ] Instituto Raimon Inazuma Japón,https://static.wikia.nocookie.net/inazuma/images/f/f5/Willy_%28T3_Artwork%29.png/revision/latest?cb=20190430223932&path-prefix=es
Wilson Fishman,Bosque,Defensa,Instituto Wild,https://static.wikia.nocookie.net/inazuma/images/c/c2/Imagem0.jpg/revision/latest?cb=20120812132202&path-prefix=es
Winston Falls,Aire,Centrocampista,Instituto Shuriken,https://static.wikia.nocookie.net/inazuma/images/f/f1/%28SHK%29_Spook_3D_%283%29.png/revision/latest/scale-to-width-down/268?cb=20191017131941&path-prefix=es
York Nashmith,Bosque,Centrocampista,1ª Línea : Instituto Kirkwood 2ª Línea : Instituto Kirkwood,https://static.wikia.nocookie.net/inazuma/images/8/81/250px-Yagata.jpg/revision/latest?cb=20120428005312&path-prefix=es
Zachary Moore,Bosque,Centrocampista,Línea Original : Instituto Kirkwood Línea Alterna : Instituto Kirkwood,https://static.wikia.nocookie.net/inazuma/images/0/0e/Zacharymoore1.png/revision/latest/scale-to-width-down/268?cb=20140101134919&path-prefix=es
